notes,recalc,era,rapper,rapper_clean,color,words,id,source,images
,4838,1990s,A Tribe Called Quest,A Tribe Called Quest,east nowutang fifth,"4,635",action,site,assets/images/tribe-called-quest.jpg
,3447,2000s,Trick Daddy,Trick Daddy,,3750,action,poster,assets/images/trick.jpg
,3537,2000s,Trina,Trina,,"3,537",action,,assets/images/trina.jpg
,4522,2000s,Twista,Twista,midwest nowutang fifth,"4,705",action,site,assets/images/twista.jpg
,3946,2010s,Tyga,Tyga,west nowutang fifth,"4,601",action,site,assets/images/tyga.jpg
,4431,2010s,Tyler the Creator,Tyler the Creator,,"4,431",action,new,assets/images/tyler.jpg
,3869,1990s,UGK,UGK,south nowutang third,"4,011",action,site,assets/images/ugk.jpg
,3883,2010s,Vince Staples,Vince Staples,,"3,883",action,new,assets/images/vince.jpg
,4272,2010s,Wale,Wale,east nowutang fifth,"4,896",action,site,assets/images/wale.jpg
,5413,2010s,Watsky,Watsky,,5651,action,poster,assets/images/watsky.jpg
,3048,2010s,Wiz Khalifa,Wiz Khalifa,midwest nowutang second,"3,707",action,site,assets/images/wiz-khalifa.jpg
,6196,1990s,Wu-Tang Clan,Wu-Tang Clan,east wutang,"5,895",action,site,assets/images/wu-tang.jpg
,4787,2000s,Xzibit,Xzibit,west nowutang sixth,"4,982",action,site,assets/images/xzibit.jpg
,3029,2010s,YG,YG,,3029,action,new,assets/images/yg.jpg
,2724,2010s,YoungBoy Never Broke Again,YoungBoy Never Broke Again,,2724,action,new,assets/images/young-boy.jpg
,3486,2000s,Young Jeezy,Young Jeezy,south nowutang second,"3,650",action,site,assets/images/young-jeezy.jpg
,3395,2010s,Young Thug,Young Thug,,3395,action,new,assets/images/young-thug.jpg
